
S,989,APDS9300_init OK
S,1578,MPU9250_init OK
S,1629,MPL3115A2_init OK
G,3370,26,-26,-52
A,3390,-2031,-181,-84
G,3390,21,5,64
A,3410,-2035,-178,-89
G,3410,-12,64,27
A,3430,-2039,-187,-96
G,3430,-3,-43,-57
A,3450,-2047,-180,-73
G,3450,22,-20,31
A,3470,-2038,-173,-78
G,3470,5,34,-41
A,3490,-2046,-186,-72
G,3490,2,47,39
A,3510,-2040,-177,-82
G,3510,26,-15,-16
A,3530,-2038,-177,-93
G,3530,12,45,-59
A,3550,-2047,-181,-77
G,3550,19,11,69
A,3570,-2030,-178,-74
G,3570,-3,23,19
A,3590,-2035,-176,-74
G,3590,31,71,-20
A,3610,-2036,-184,-86
G,3610,11,16,53
A,3630,-2043,-177,-73
G,3630,20,70,2
A,3650,-2043,-183,-78
G,3650,23,65,15
A,3670,-2040,-182,-94
G,3670,-3,-68,-47
A,3690,-2041,-176,-64
G,3690,25,-14,-76
A,3710,-2043,-176,-76
G,3710,-20,53,67
A,3730,-2039,-186,-94
G,3730,9,-52,-60
A,3750,-2040,-178,-80
G,3750,37,-71,-68
A,3770,-2033,-174,-91
G,3770,5,48,55
A,3790,-2041,-182,-73
G,3790,-21,20,77
A,3810,-2032,-176,-91
G,3810,16,8,-38
A,3830,-2038,-181,-74
G,3830,54,-43,-6
A,3850,-2039,-176,-77
G,3850,24,56,40
A,3870,-2026,-172,-86
G,3870,12,5,2
A,3890,-2040,-181,-81
G,3890,9,37,7
A,3910,-2037,-175,-89
G,3910,23,-29,-65
A,3930,-2029,-177,-86
G,3930,22,53,85
A,3950,-2047,-166,-79
G,3950,8,39,61
A,3970,-2032,-181,-93
G,3970,-8,-32,-39
A,3990,-2034,-177,-73
G,3990,6,-20,50
A,4010,-2042,-174,-82
G,4010,54,31,-52
A,4030,-2031,-173,-91
G,4030,42,99,34
A,4050,-2038,-175,-82
G,4050,28,-72,39
A,4070,-2041,-174,-75
G,4070,40,16,-65
A,4090,-2046,-183,-79
G,4090,22,56,19
A,4110,-2034,-173,-91
G,4110,32,11,-6
A,4130,-2037,-175,-90
G,4130,52,-43,-65
A,4150,-2045,-180,-78
G,4150,5,16,67
A,4170,-2044,-181,-68
G,4170,31,25,2
A,4190,-2035,-175,-80
G,4190,8,30,-9
A,4210,-2041,-177,-77
G,4210,32,36,94
A,4230,-2035,-176,-73
G,4230,-8,51,-27
A,4250,-2047,-170,-86
G,4250,-14,20,0
A,4270,-2038,-172,-90
G,4270,18,-57,-20
A,4290,-2035,-175,-90
G,4290,28,-7,-87
A,4310,-2034,-173,-78
G,4310,-8,-4,88
A,4330,-2045,-184,-81
G,4330,18,116,59
A,4350,-2040,-173,-84
G,4350,-5,-24,-6
A,4370,-2048,-175,-88
G,4370,-27,34,66
A,4390,-2048,-174,-93
G,4390,46,47,31
A,4410,-2031,-178,-80
G,4410,75,-21,16
A,4430,-2150,536,157
G,4430,-580,-31,43
A,4450,-2380,-381,-94
G,4450,-1317,-196,-127
A,4470,-1939,-518,-234
G,4470,-505,-82,7
A,4490,-2094,-33,-63
G,4490,-585,-6,98
A,4510,-2000,3,-60
G,4510,-1508,-45,42
A,4530,-2088,-247,-46
G,4530,-971,110,104
A,4550,-2048,-129,-85
G,4550,-1068,-128,61
A,4570,-1991,-96,-184
G,4570,-1094,-122,-17
A,4590,-2113,-165,-168
G,4590,-610,-110,5
A,4610,-2013,-239,-55
G,4610,-1103,-77,-16
A,4630,-2161,-138,-202
G,4630,-707,-37,10
A,4650,-2125,-148,96
